pathway,A1,A2,A13,A14,A15,A17,A18,A19,A20,A21,A22,A23,A3,A24,A26,A28,A29,A30,A32,A37,A39,A42,A47,A4,A49,MWR072,MWR101,MWR102,MWR065,MWR091,MWR098,MWR084,MWR095,MWR063,A5,MWR080,MWR094,MWR115,MWR111,MWR092,MWR097,MWR073,MWR107,MWR112,MWR078,A6,MWR104,MWR070,MWR113,MWR082,MWR088,MWR118,MWR067,MWR108,MWR085,MWR090,A7,MWR077,MWR089,MWR068,MWR069,MWR106,MWR100,MWR081,A8,A9,A10
1CMET2-PWY,312990.4998,407308.9476,309763.3554,247336.4477,311814.8071,222684.4069,274514.3131,274423.5346,341783.625,293067.2713,362923.8175,4297.0751,371426.8336,72575.6698,9850.3164,21149.046,20294.9912,34624.5399,18377.3884,77143.6334,75849.4435,141369.524,198206.2979,491034.7364,283069.6827,51927.3948,73494.3658,71319.4025,62529.9945,75026.407,63348.2339,33517.1711,61292.7415,48758.9865,331578.1411,60946.8667,46880.6164,59486.1754,61512.6416,70806.3748,49024.754,49908.7723,78235.5495,49990.7385,46620.9724,248469.5166,75794.5842,31706.1854,56539.8688,53993.0424,58644.8068,83108.4696,52532.7966,51598.8339,41133.5095,61776.6622,272220.9048,73514.0102,37054.2885,56555.9338,47364.6775,58500.9673,38305.4996,34409.2649,239218.8573,259931.542,287567.4035
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,1279.7044,69.6135,3500.6925,15.2008,17.1742,2528.7689,2585.8237,589.6458,2218.1666,1980.7964,291.5941,0,11.9198,42.0251,29.877,73.2763,35.4003,77.8158,95.6185,0,17.8979,10.2668,0,40.3244,0,1977.7115,108.1422,142.5882,6.3659,3669.9595,3.4985,15.202,9810.8414,260.6953,1433.6641,10295.2878,242.1653,0,473.234,12.1737,123.3726,586.2768,680.1761,0,1359.9333,3.0713,730.4739,118.5615,9.5584,805.3385,5.1969,715.273,133.3093,0,4.7067,167.8461,199.1316,224.5702,83.0742,213.2149,19.7211,61.0708,15.0579,162.2551,782.9185,2232.07,45.1577
AEROBACTINSYN-PWY,0,0,19.67,0,0,0,1307,0,0,0,7,0,0,20,8,27,19,30,38,0,0,0,0,0,0,0,0,0,0,0,0,0,8403,0,285,5091.29,35,0,0,0,0,0,3,0,0,0,0,0,0,0,0,72,0,0,0,0,55,0,0,0,0,24,0,0,0,0,0
ALL-CHORISMATE-PWY,9273.3773,656.4148,16069.5038,422.6104,256.3,12971.1529,14624.7593,3358.6648,9069.7862,11347.0262,2236.0722,0,238.6351,334.9926,209.5499,425.1107,228.4898,470.3637,552.0005,0,269.463,144.5308,0,720.9067,51.499,6537.1733,738.0861,828.3234,103.1867,12031.5522,79.7533,168.8249,22571.4958,1613.364,5105.6988,22101.0563,1020.1872,0,2487.2607,229.6873,803.9143,3049.4078,3435.9082,125.871,4388.4208,183.7526,3569.0594,1005.4605,60.2048,3587.2996,111.3687,2697.8608,1145.9705,0,92.635,740.495,1389.1858,1083.2139,450.1578,1050.5017,493.5257,927.5732,175.9447,1004.2391,4264.893,10431.2993,1147.1185
ANAEROFRUCAT-PWY,173221.8283,361024.3542,272896.226,234630.0251,161098.1267,224882.7066,257426.0907,277099.1814,136678.8783,362924.9384,275092.0785,5654.2636,381691.7834,30592.8438,9309.0726,16473.29,14173.4895,28658.9072,12065.9886,73550.3363,72149.4936,136407.7505,174345.9457,456912.1168,210386.3095,49640.3187,62146.7218,91314.9383,19799.3891,81506.685,63213.4633,31682.0649,59817.0715,31170.6917,309662.3971,55324.79,49539.3422,56808.1519,44005.605,62126.7099,49118.5316,53708.6539,54589.5231,39338.4743,47089.1242,169502.8074,63955.2055,33444.5157,23162.4473,62793.7777,61625.2368,71297.1852,48092.4454,33428.2601,27975.9079,52438.0578,292866.0818,51657.067,42881.8733,55214.9245,53447.0499,47524.1859,33294.7289,31053.7942,250176.1048,211568.509,239636.3834
ANAGLYCOLYSIS-PWY,432904.0896,593471.5924,442392.6758,340021.3028,414166.5417,323735.1667,372848.6125,350862.2907,458454.1774,422993.9752,508168.3014,6400.0132,543479.3845,102933.0873,13736.6683,30515.1258,30009.2961,51188.5123,25879.3409,113261.1339,100846.0056,192023.0788,276343.0997,670733.5817,413009.7321,68106.8795,101776.4751,104438.3092,82569.0383,107085.0052,92115.7463,51417.712,78239.8665,73087.2709,443240.5353,85765.1754,66975.954,78564.1741,88566.7321,93773.9492,71643.1777,79243.8054,112140.257,72026.4832,64693.9252,418755.9295,107121.3804,41061.41,87012.2428,81441.0447,75845.5203,104728.3376,74442.0554,82470.0112,57260.5445,83254.479,417143.8696,96352.8711,54412.0981,84866.9282,66131.2867,83449.2616,65940.535,45001.8676,321304.2205,367685.3742,409752.9147
ARG+POLYAMINE-SYN,20126.4287,14460.0975,33959.2571,14393.9722,81592.9764,35299.9049,42553.833,30467.2403,23125.2083,103873.0246,55593.0198,805.0119,3394.7414,1879.0969,786.0162,3051.9822,713.0795,2623.0843,2272.1779,7081.2391,4134.2582,15235.8729,13307.9227,27304.9784,22225.228,12512.4512,3482.6933,14302.909,6655.7474,22071.1096,12787.5569,1053.6621,31308.3918,9088.7542,88260.7949,33651.0562,7110.4044,2410.6585,8475.5037,4731.5681,7131.8418,8387.5326,9218.0239,1090.8404,9529.1019,7897.47,8184.9721,9410.1146,8010.2798,8758.5054,2438.2059,20948.7263,9168.294,12112.9197,8810.9369,9334.636,21972.9466,7518.1762,12133.4509,5135.5901,18226.6385,10426.3025,4446.783,4168.2374,16582.0798,31413.9299,27497.5368
ARGDEG-PWY,73.5887,0,128.2956,0,13.6483,0,3832.3207,0,32.4307,65.0718,59.7645,0,0,62.0148,38.2759,101.9622,55.4982,112.2113,139.354,0,0,0,0,0,0,0,0,0,0,520.5008,0,0,14972.8117,0,1508.6569,13759.559,304.6664,0,0,0,0,0,533.0292,9.0367,0,0,0,83.2727,0,0,0,476.3011,13.4737,0,0,0,268.1911,0,12.557,13.658,54.3918,91.8763,0,177.2247,0,0,0
ARGORNPROST-PWY,36844.3733,33974.5622,69352.4614,23304.0501,25663.3277,31847.5153,35004.8194,20605.2046,12140.9986,58499.7609,38454.2271,386.6566,33511.5022,7887.5181,1007.4616,2412.3145,2303.0342,4434.3259,2453.3261,12010.7068,9915.1468,11187.9802,12079.3374,76963.1183,31797.6264,5776.7087,13283.1657,5303.1226,1921.5426,5248.6839,7949.7973,2493.9668,15253.2374,3605.8108,19449.7614,10928.3477,4113.6252,4617.4433,9326.9175,3919.1296,6802.0088,7530.2835,7323.4689,5131.223,2811.6051,18276.6071,9422.5594,3308.2542,5142.402,6889.4284,4316.3601,2374.929,3990.713,5763.1209,3407.0863,4803.3308,11244.3033,3961.6711,3768.2753,5913.889,3738.0975,3298.4674,4139.2701,2582.5887,23440.8271,50321.4752,25923.7665
ARGSYN-PWY,308690.4346,452627.4028,318013.5489,234851.2764,240235.9239,213012.241,270308.112,218742.8683,163689.2423,322325.6961,343372.5079,4938.2131,417073.7165,76680.8439,8809.9983,21966.1358,20791.3725,34097.1964,19086.0947,72273.8422,67361.7759,127343.0244,181990.346,450105.3907,261674.0426,44640.2507,70664.1091,47812.348,25547.8381,55957.6915,66304.5239,31619.824,54290.4645,51723.5832,303372.5351,55035.6495,41672.0885,55099.8258,68060.053,38995.3601,48333.9345,54701.3959,75487.2059,49829.047,44434.9538,195424.7192,73495.5788,25414.3064,66202.477,52255.1116,43774.5222,51964.3929,56545.7798,63043.2484,41267.9953,48563.1415,219151.784,49074.5261,24501.1363,56352.1703,34779.4975,55219.2922,48857.1461,26544.3008,165598.9189,275058.1496,274204.1182
