asv,A1,A2,A13,A14,A15,A17,A18,A19,A20,A21,A22,A23,A3,A24,A26,A28,A29,A30,A32,A37,A39,A42,A47,A4,A49,MWR072,MWR101,MWR102,MWR065,MWR091,MWR098,MWR084,MWR095,MWR063,A5,MWR080,MWR094,MWR115,MWR111,MWR092,MWR097,MWR073,MWR107,MWR112,MWR078,A6,MWR104,MWR070,MWR113,MWR082,MWR088,MWR118,MWR067,MWR108,MWR085,MWR090,A7,MWR077,MWR089,MWR068,MWR069,MWR106,MWR100,MWR081,A8,A9,A10
Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.massiliensis,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA,1022,31,83,4,44,120,10,11,26,57,22,0,41,5,0,7,87,36,6,0,0,3,4,42,0,0,14,14,12,15,5,0,41,8,25,0,0,0,18,0,20,19,9,19,10,19,17,0,29,5,14,0,0,0,52,0,25,0,0,0,6,0,0,0,16,142,259
Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.oris,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,35
Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.pacaensis,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinotignum.NA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.F0332.NA,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Mobiluncus.NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.NA.NA,0,5,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Varibaculum.NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Varibaculum.timonense,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
