"","R","P","microbe1","microbe2"
"cor",1,0,"Actinomyces","Actinomyces"
"cor1",-0.0077970059472834,0.966794887970332,"Actinomyces","Bifidobacterium"
"cor2",-0.0164174406588594,0.930148651022663,"Actinomyces","Rhodococcus"
"cor3",-0.0171740847744654,0.926937704300374,"Actinomyces","Microbacterium"
"cor4",-0.0139906618208833,0.940454120003889,"Actinomyces","Cutibacterium"
"cor5",0.201267539095008,0.277603888492479,"Actinomyces","Propionibacterium"
"cor6",-0.0276660259797988,0.88255121644537,"Actinomyces","Libanicoccus"
"cor7",-0.028252827386227,0.880077773990476,"Actinomyces","Olsenella"
"cor8",0.167033266033702,0.369123301978376,"Actinomyces","Collinsella"
"cor9",-0.0426558704325549,0.8197694304115,"Actinomyces","Raoultibacter"
"cor10",-0.0318141365549112,0.865090983031547,"Actinomyces","Adlercreutzia"
"cor11",-0.0993238401200996,0.59500049612249,"Actinomyces","DNF00809"
"cor12",0.147329908618329,0.428991259268982,"Actinomyces","Eggerthella"
"cor13",-0.03019089802217,0.871916554601566,"Actinomyces","Enterorhabdus"
"cor14",0.0729200745892122,0.696656971132246,"Actinomyces","Gordonibacter"
"cor15",-0.0663501485085089,0.722865265014048,"Actinomyces","Senegalimassilia"
"cor16",-0.0991421210590214,0.595677788856485,"Actinomyces","Slackia"
"cor17",-0.0704197804569391,0.706592501742275,"Actinomyces","Bacteroides"
"cor18",0.157232886700473,0.398260002079622,"Actinomyces","Barnesiella"
"cor19",0.0735466185126166,0.69417487408199,"Actinomyces","Coprobacter"
"cor20",NA,NA,"Actinomyces","Dysgonomonas"
"cor21",-0.0042600645603012,0.981854180031887,"Actinomyces","Butyricimonas"
"cor22",-0.0405324245922714,0.828605981647616,"Actinomyces","Odoribacter"
"cor23",-0.0357746057016962,0.848478468595828,"Actinomyces","Sanguibacteroides"
"cor24",-0.073801720769887,0.69316515647458,"Actinomyces","Muribaculum"
"cor25",-0.0316940485026954,0.865595622164333,"Actinomyces","Alloprevotella"
"cor26",0.702980106627225,1.03421462679334e-05,"Actinomyces","Paraprevotella"
"cor27",-0.0241716866771288,0.897302000052066,"Actinomyces","Prevotella"
"cor28",-0.0282070999498782,0.880270481432848,"Actinomyces","Prevotellaceae_NK3B31_group"
"cor29",-0.0450309564356566,0.809911365474287,"Actinomyces","Prevotellaceae_UCG-001"
"cor30",-0.0276660259797988,0.88255121644537,"Actinomyces","Prevotellaceae_UCG-003"
"cor31",-0.027713746994068,0.882350025465592,"Actinomyces","Prevotellaceae_UCG-004"
"cor32",-0.0606572104737382,0.745828153948584,"Actinomyces","Alistipes"
"cor33",-0.032036379629271,0.864157201297244,"Actinomyces","Rikenellaceae_RC9_gut_group"
"cor34",0.0242563181268317,0.8969443246414,"Actinomyces","Parabacteroides"
"cor35",-0.0196673017298636,0.9163655578895,"Actinomyces","Flavobacterium"
"cor36",-0.0165353962125595,0.929648014627909,"Actinomyces","Pedobacter"
"cor37",-0.0697512756495513,0.709257092013837,"Actinomyces","Bacillus"
"cor38",NA,NA,"Actinomyces","Solibacillus"
"cor39",0.0270084192163836,0.885324400971939,"Actinomyces","Candidatus_Stoquefichus"
"cor40",0.634933137196556,0.000124624173752711,"Actinomyces","Catenibacterium"
"cor41",-0.0198013062794696,0.915797710439256,"Actinomyces","Coprobacillus"
"cor42",-0.0249922328989757,0.893834993182444,"Actinomyces","Erysipelatoclostridium"
"cor43",0.111207116331625,0.551454056832837,"Actinomyces","Erysipelotrichaceae_UCG-003"
"cor44",NA,NA,"Actinomyces","Catenisphaera"
"cor45",0.0503227013420363,0.788051893348021,"Actinomyces","Dielma"
"cor46",-0.010643178547827,0.954684592654063,"Actinomyces","Faecalitalea"
"cor47",-0.0784918422398279,0.674694755717161,"Actinomyces","Holdemanella"
"cor48",-0.0250934161498633,0.893407601142569,"Actinomyces","Holdemania"
"cor49",-0.0599852525572689,0.748553147813399,"Actinomyces","Merdibacter"
"cor50",0.0557052586598202,0.765978435801019,"Actinomyces","Turicibacter"
"cor51",0.943150982774116,2.07740249890847e-15,"Actinomyces","Granulicatella"
"cor52",0.618921403897826,0.000205840405734114,"Actinomyces","Enterococcus"
"cor53",0.134103267046506,0.471998720289044,"Actinomyces","Lactobacillus"
"cor54",0.947132519303111,7.43811535126061e-16,"Actinomyces","Lactococcus"
"cor55",0.832368945842212,6.41937194278269e-09,"Actinomyces","Streptococcus"
"cor56",0.964473123463992,2.61100499479438e-18,"Actinomyces","Gemella"
"cor57",0.129268626437664,0.488261349021038,"Actinomyces","Christensenella"
"cor58",0.166917558743457,0.369459790462608,"Actinomyces","Christensenellaceae_R-7_group"
"cor59",-0.0815941175170487,0.662577953337163,"Actinomyces","Ruminiclostridium"
"cor60",-0.0478673443871526,0.798176054142068,"Actinomyces","Clostridium_sensu_stricto_1"
"cor61",0.0670421546965724,0.720089601936691,"Actinomyces","Anaerofustis"
"cor62",-0.065901549208678,0.724666463457889,"Actinomyces","Eubacterium"
"cor63",-0.0729502875794001,0.696537209417115,"Actinomyces","Defluviitaleaceae_UCG-011"
"cor64",-0.0658608229802497,0.724830057482974,"Actinomyces","A2"
"cor65",-0.0674027293600721,0.718644704417648,"Actinomyces","Agathobacter"
"cor66",0.0290033688120853,0.876915764243608,"Actinomyces","Anaerostipes"
"cor67",0.400872876211531,0.025422934442374,"Actinomyces","Blautia"
"cor68",-0.0897050503911752,0.631297586007974,"Actinomyces","CAG-56"
"cor69",-0.0596429116425999,0.749942591385717,"Actinomyces","Coprococcus"
"cor70",0.10840988779397,0.561569764147427,"Actinomyces","Dorea"
"cor71",-0.0762845345806593,0.683365136945471,"Actinomyces","Eisenbergiella"
"cor72",-0.0066054961138774,0.971866999228371,"Actinomyces","Epulopiscium"
"cor73",0.0140051858293874,0.940392413141718,"Actinomyces","Frisingicoccus"
"cor74",-0.0330553898900118,0.859878022942921,"Actinomyces","Fusicatenibacter"
"cor75",0.131194303870061,0.481749744169261,"Actinomyces","GCA-900066575"
"cor76",-0.109441651871821,0.557828686012359,"Actinomyces","GCA-900066755"
"cor77",0.587696435702484,0.000508267704833546,"Actinomyces","Howardella"
"cor78",0.0036411913906197,0.98448993991945,"Actinomyces","Hungatella"
"cor79",0.0812815994452738,0.663794860590024,"Actinomyces","Lachnoclostridium"
"cor80",0.0348283968389857,0.852441901382512,"Actinomyces","Lachnospira"
"cor81",-0.0699460139095655,0.708480536215395,"Actinomyces","Lachnospiraceae_AC2044_group"
"cor82",0.499121008197208,0.00425828907627114,"Actinomyces","Lachnospiraceae_FCS020_group"
"cor83",0.223991154546953,0.225763255753531,"Actinomyces","Lachnospiraceae_ND3007_group"
"cor84",-0.0996572853480867,0.593758565586109,"Actinomyces","Lachnospiraceae_NK4A136_group"
"cor85",-0.13366103871342,0.473474422212826,"Actinomyces","Lachnospiraceae_NK4B4_group"
"cor86",-0.0892938235144263,0.632869124046833,"Actinomyces","Lachnospiraceae_UCG-001"
"cor87",-0.0600514820661607,0.748284434211955,"Actinomyces","Lachnospiraceae_UCG-004"
"cor88",0.374507920157012,0.0379211302774151,"Actinomyces","Lachnospiraceae_UCG-010"
"cor89",-0.0527340400123754,0.778142124650272,"Actinomyces","Lachnospiraceae_XPB1014_group"
"cor90",-0.0623665769800715,0.738909782356259,"Actinomyces","Lactonifactor"
"cor91",0.410516455464414,0.0217962813878668,"Actinomyces","Marvinbryantia"
"cor92",0.331950639145837,0.0680923779447305,"Actinomyces","Moryella"
"cor93",-0.183864368922757,0.322115802676139,"Actinomyces","Roseburia"
"cor94",-0.000207371183851939,0.999116626826516,"Actinomyces","Sellimonas"
"cor95",0.145637269808541,0.434371302066147,"Actinomyces","Shuttleworthia"
"cor96",-0.0459954353671725,0.805916237144097,"Actinomyces","Tuzzerella"
"cor97",-0.0716931136106279,0.701526562478759,"Actinomyces","Tyzzerella"
"cor98",-0.0751322262751026,0.687907294319649,"Actinomyces","UC5-1-2E3"
"cor99",-0.101637494977782,0.586406465488092,"Actinomyces","Monoglobus"
"cor100",0.827915267992282,9.10788156530061e-09,"Actinomyces","Butyricicoccus"
"cor101",-0.0884705443966089,0.636020070580833,"Actinomyces","UCG-008"
"cor102",-0.0439084900489402,0.8145668276043,"Actinomyces","UCG-009"
"cor103",0.0751072459943641,0.68800588023535,"Actinomyces","Acetanaerobacterium"
"cor104",-0.0652325550428568,0.727355263626665,"Actinomyces","Ethanoligenens"
"cor105",-0.0975399947322654,0.601663491036688,"Actinomyces","Colidextribacter"
"cor106",0.123067763110585,0.509530815656845,"Actinomyces","Flavonifractor"
"cor107",0.0125558376927512,0.946551742418748,"Actinomyces","Intestinimonas"
"cor108",-0.121285970905233,0.515726288513038,"Actinomyces","NK4A214_group"
"cor109",-0.0607691717369198,0.745374408508319,"Actinomyces","Oscillibacter"
"cor110",-0.0413851393636143,0.825054944517312,"Actinomyces","Oscillospira"
"cor111",-0.112244787556539,0.547723196575271,"Actinomyces","Pseudoflavonifractor"
"cor112",-0.13162210886536,0.480309239039541,"Actinomyces","UCG-002"
"cor113",-0.0468479728931712,0.802388787241697,"Actinomyces","UCG-003"
"cor114",-0.00658122243888513,0.971970341149961,"Actinomyces","UCG-005"
"cor115",-0.129361750129632,0.487945424070825,"Actinomyces","UCG-007"
"cor116",0.0317465670597706,0.865374920046178,"Actinomyces","Hydrogenoanaerobacterium"
"cor117",0.0199204415019007,0.915292906280276,"Actinomyces","Anaerofilum"
"cor118",-0.078664944955926,0.674016511327183,"Actinomyces","Anaerotruncus"
"cor119",-0.0710191399422558,0.70420640865101,"Actinomyces","Angelakisella"
"cor120",-0.113898103758398,0.541803375872982,"Actinomyces","CAG-352"
"cor121",0.264512764756519,0.150439328671349,"Actinomyces","Candidatus_Soleaferrea"
"cor122",-0.0943952340800236,0.613486630656216,"Actinomyces","Caproiciproducens"
"cor123",0.260406205040482,0.157113948322438,"Actinomyces","DTU089"
"cor124",0.101578259349325,0.586625813625806,"Actinomyces","Faecalibacterium"
"cor125",-0.0735190475114275,0.694284033406695,"Actinomyces","Fournierella"
"cor126",-0.0675024473713838,0.718245281528264,"Actinomyces","Harryflintia"
"cor127",0.41653495786578,0.0197572007905897,"Actinomyces","Incertae_Sedis"
"cor128",-0.0866354806456402,0.64306586142278,"Actinomyces","Negativibacillus"
"cor129",-0.109719666405436,0.556822600014962,"Actinomyces","Paludicola"
"cor130",-0.0475628199752391,0.79943397792599,"Actinomyces","Phocea"
"cor131",-0.0394679295927765,0.833043606857915,"Actinomyces","Pygmaiobacter"
"cor132",-0.15799289741327,0.3959546944393,"Actinomyces","Ruminococcus"
"cor133",-0.000884978066767976,0.996230125782832,"Actinomyces","Subdoligranulum"
"cor134",0.00109235653100532,0.995346733124793,"Actinomyces","UBA1819"
"cor135",-0.0684810821179242,0.714329220746101,"Actinomyces","Peptococcus"
"cor136",0.0498649522022021,0.789936810787759,"Actinomyces","Family_XIII_AD3011_group"
"cor137",-0.103356554677018,0.580056583820026,"Actinomyces","Family_XIII_UCG-001"
"cor138",0.0896980315212764,0.631324395995124,"Actinomyces","Intestinibacter"
"cor139",0.0341859058551578,0.85513515508342,"Actinomyces","Paeniclostridium"
"cor140",0.0403200185326987,0.829491042611299,"Actinomyces","Romboutsia"
"cor141",0.162764209313823,0.381657420620676,"Actinomyces","Terrisporobacter"
"cor142",-0.018013536269887,0.923376671043055,"Actinomyces","Fenollaria"
"cor143",-0.0411285160565675,0.826123270829575,"Actinomyces","Acidaminococcus"
"cor144",-0.121430317368612,0.515223006832198,"Actinomyces","Phascolarctobacterium"
"cor145",-0.069168976715113,0.711580824460252,"Actinomyces","Succiniclasticum"
"cor146",NA,NA,"Actinomyces","Megamonas"
"cor147",-0.047236782791432,0.800781312824936,"Actinomyces","Mitsuokella"
"cor148",-0.0285452605055767,0.878845543450421,"Actinomyces","Allisonella"
"cor149",-0.0701312460512149,0.707742154136021,"Actinomyces","Dialister"
"cor150",-0.0463063778659324,0.804629247603295,"Actinomyces","Megasphaera"
"cor151",0.928046291488166,5.73683700238279e-14,"Actinomyces","Veillonella"
"cor152",0.965968880466929,1.41287024710353e-18,"Actinomyces","Fusobacterium"
"cor153",-0.0658608229802497,0.724830057482974,"Actinomyces","Sneathia"
"cor154",-0.0164214450667244,0.930131654764118,"Actinomyces","Brevundimonas"
"cor155",-0.0163811995933019,0.930302473518547,"Actinomyces","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"cor156",-0.0171106371690732,0.927206912303675,"Actinomyces","Mesorhizobium"
"cor157",-0.0168829845041193,0.928172906657311,"Actinomyces","Phyllobacterium"
"cor158",-0.017126543021894,0.927139423074366,"Actinomyces","Paracoccus"
"cor159",-0.0200380260605368,0.914794704379486,"Actinomyces","Sphingomonas"
"cor160",-0.0276660259797988,0.88255121644537,"Actinomyces","Succinivibrio"
"cor161",-0.0179242332949594,0.923755434837085,"Actinomyces","Achromobacter"
"cor162",-0.045569302659392,0.807680806881735,"Actinomyces","Parasutterella"
"cor163",-0.0185921521939431,0.92092296963851,"Actinomyces","Sutterella"
"cor164",-0.0886067943775289,0.635498166362164,"Actinomyces","Citrobacter"
"cor165",-0.0685580091199404,0.71402169348533,"Actinomyces","Enterobacter"
"cor166",0.210402466771438,0.255912518256096,"Actinomyces","Escherichia/Shigella"
"cor167",0.641771963084402,9.97153043948865e-05,"Actinomyces","Klebsiella"
"cor168",-0.0465783871236882,0.80350381354168,"Actinomyces","Raoultella"
"cor169",-0.0538620369153809,0.773518051789,"Actinomyces","Salmonella"
"cor170",NA,NA,"Actinomyces","Proteus"
"cor171",-0.0306611871347483,0.869938079569937,"Actinomyces","Haemophilus"
"cor172",-0.0168869905609511,0.928155906959538,"Actinomyces","Pseudomonas"
"cor173",-0.0218428514054643,0.907151807507314,"Actinomyces","Stenotrophomonas"
"cor174",-0.109175224681534,0.558793624744735,"Actinomyces","Cloacibacillus"
"cor176",1,0,"Bifidobacterium","Bifidobacterium"
"cor177",-0.0958784682770458,0.60789810491393,"Bifidobacterium","Rhodococcus"
"cor178",-0.0931333934360634,0.618257813545383,"Bifidobacterium","Microbacterium"
"cor179",-0.0969923351080813,0.603715477790374,"Bifidobacterium","Cutibacterium"
"cor180",-0.0242542314202649,0.896953143389855,"Bifidobacterium","Propionibacterium"
"cor181",0.00654731250458802,0.972114708901428,"Bifidobacterium","Libanicoccus"
"cor182",0.00569934347509273,0.97572511193891,"Bifidobacterium","Olsenella"
"cor183",0.00994846242050258,0.9576397560427,"Bifidobacterium","Collinsella"
"cor184",-0.0538658685260395,0.773502357482418,"Bifidobacterium","Raoultibacter"
"cor185",-0.0626328592591561,0.737833834489232,"Bifidobacterium","Adlercreutzia"
"cor186",0.0185045451484145,0.921294434263446,"Bifidobacterium","DNF00809"
