"chen_term","chen_1","chen_2","chen_3","chen_4","chen_5","chen_6","chen_7","chen_8","chen_9","chen_10","chen_11","chen_12","chen_13","chen_14","chen_15","chen_16","chen_17","chen_18","chen_19","chen_20","chen_21","chen_22","chen_23","chen_24","chen_25","chen_26","chen_27","chen_28","chen_29","chen_30"
"Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA",9.41307012165866e-05,7.08839378962906e-05,0.000811071780288949,4.82282991839168e-05,0.000169036522496058,0.000166963641960498,0.000191735058302548,6.02771661656872e-06,5.64375609134107e-11,0.00410313137201926,0.000434305728488738,6.71008629535468e-05,5.04077578929267e-26,0.000159270373884306,4.99385212721413e-05,3.31523188469399e-10,0.000619233455807303,2.94653956312232e-07,1.56279129283632e-05,1.17664467128801e-06,2.6031259095967e-10,1.29400540756465e-05,2.06436981134982e-05,0.000231127161670835,1.38528645099915e-05,0.000101802820236255,1.71029120964056e-28,8.48690008906041e-05,1.05955429104605e-10,0.00456256639174924
"Bacteria.Actinobacteriota.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium.NA",2.57909130410928e-16,0.000272522327687837,6.52278883314311e-24,2.42303181560637e-05,0.000426144896965377,5.93809394382781e-49,0.00017667733203473,3.9269503207417e-05,3.30854570223181e-05,4.48418079133702e-05,3.03481017891158e-10,1.44258401654882e-07,3.98540534615821e-07,4.27302476003323e-05,0.000125809115919324,3.91137537192331e-05,7.26732342141924e-38,0.000320445829118502,2.75252615560163e-15,7.21971306706268e-10,1.00897816160196e-05,0.000179421777446518,7.90716763448121e-26,1.42702564838514e-10,3.23058459461395e-06,1.7346946751881e-17,2.25860155709343e-11,0.0013571394197697,3.87162592892395e-21,0.000500833597198961
"Bacteria.Actinobacteriota.Actinobacteria.Corynebacteriales.Nocardiaceae.Rhodococcus.NA",3.12693452957605e-231,4.92063387445086e-11,1.66907315784476e-271,1.15633751870864e-125,1.64949866706952e-95,0.00135840461899164,8.60372097282987e-46,8.70131973173922e-48,6.93134105513523e-136,3.58520456918812e-48,2.48269149670282e-233,2.38555293140562e-06,3.72007597602084e-44,2.67774807922327e-137,8.95058409576975e-82,7.72469657378311e-57,9.76428787981194e-311,4.47405801856841e-264,2.17160194001525e-77,2.20413136596535e-35,2.20816671802571e-79,4.1954133129173e-80,4.8803455808813e-43,5.86421847233348e-74,6.48985287596295e-05,1.38787953935218e-144,1.36390505027245e-57,1.74627479335722e-97,6.09096689871768e-57,1.27224119543986e-120
"Bacteria.Actinobacteriota.Actinobacteria.Micrococcales.Microbacteriaceae.Microbacterium.NA",5.61999784918707e-08,2.54234410798285e-79,1.44715465880673e-81,5.9088061554588e-06,1.81637734662977e-05,0.00619854795518956,3.74962079023622e-28,1.78177199044012e-13,4.51589020297527e-130,3.86231111352367e-154,5.10016141911146e-53,1.59278985326164e-12,0,3.27924137143605e-122,3.50457067981023e-113,9.36097984743142e-57,2.57438374738344e-05,3.97716215495405e-122,4.54195684196008e-82,1.9931144873504e-10,5.1932128330448e-51,2.47923767526129e-65,1.2049855650654e-09,8.98500569159284e-19,1.60008202228768e-22,9.80033810473844e-52,6.10896391455139e-64,2.85123681957552e-05,6.45188451275019e-06,2.14960055133205e-106
"Bacteria.Actinobacteriota.Actinobacteria.Propionibacteriales.Propionibacteriaceae.Cutibacterium.NA",7.00747931392899e-06,2.27798639816447e-98,7.17435971099031e-303,4.03177719823025e-103,2.70393499777374e-195,0.00154922986825971,2.91468860630888e-40,2.45914251433404e-41,6.84803702913008e-132,8.2766529783435e-06,3.89368367493851e-121,4.25309869287201e-56,3.72007597602084e-44,3.79885070854621e-151,3.20162728962452e-137,7.27474200331962e-134,9.28969499168228e-84,1.17318640134637e-290,1.06994167148012e-81,4.45225805978028e-170,3.81934133500624e-144,2.26859250525937e-87,4.96474567149928e-46,3.72007597602084e-44,4.4875998854433e-99,1.07480465678509e-99,4.64067814869706e-05,1.60077921409253e-151,1.55270438027876e-18,5.71156685598722e-121
"Bacteria.Actinobacteriota.Actinobacteria.Propionibacteriales.Propionibacteriaceae.Propionibacterium.freudenreichii",2.59069194763464e-59,2.87633832333759e-31,2.17314936128741e-54,2.38075626994136e-05,4.05610974189965e-31,3.7759817049959e-13,0.000128976858742806,1.27848962881455e-33,0.000108222551240336,9.00243608643291e-05,5.14749156420365e-103,9.18966103128214e-17,1.0128368838658e-36,3.0420455358758e-110,1.05927188894548e-30,1.39232066042385e-05,7.85993490024777e-44,8.81047397707482e-13,9.1615153100989e-11,7.80570708816863e-52,6.95189659558266e-38,1.98658799012625e-18,3.94049380953566e-46,1.01674102275522e-26,1.49262959825033e-06,3.61291699522423e-30,3.70039504076313e-46,9.51251227052619e-28,2.93487383268835e-15,0.0410562833974316
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Atopobiaceae.Libanicoccus.NA",2.81537353456131e-137,1.35274733645937e-43,0.000541559005940601,1.41301524971732e-62,4.42020059040273e-81,9.58012154279659e-70,2.30718851615699e-36,1.03155764863831e-21,1.86725439238161e-43,3.72007597602084e-44,4.17638924220767e-105,3.0061857728535e-35,2.52948680033246e-50,0.000524626006847956,0.000227278760772979,1.53424860227586e-06,5.47320782780048e-100,9.77647494647939e-40,9.20686169337917e-79,1.02698718082981e-43,1.12852737094692e-29,1.50547742670175e-34,6.81849938947647e-226,3.28158147647525e-77,4.34655419054344e-52,4.41845600985678e-87,7.79888139578049e-82,6.64009063415555e-152,4.43437022172712e-217,0.00787945856398785
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Atopobiaceae.Olsenella.NA",8.24478228953355e-108,8.94811305951791e-169,4.05676534123692e-60,2.55012238338396e-63,1.0664684518081e-47,1.52643361447606e-278,2.29099899600656e-85,1.02455560307929e-18,3.8007656791387e-128,2.18681582895487e-196,5.28267510949353e-135,1.01531031672701e-99,4.88387865472367e-119,0.000950344460491409,1.48471472956178e-22,1.35094432371249e-65,8.1209665518531e-71,6.0882225830753e-91,4.36824284206863e-166,8.79608129971981e-48,8.00683394877489e-96,2.87190065214191e-111,6.87165356937095e-184,6.09962413984006e-104,4.79968523855613e-93,1.23699686082278e-98,9.14637502569022e-102,1.01014848752186e-05,3.91470772668097e-210,5.02887685424081e-27
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Collinsella.aerofaciens",0.017503184262725,0.00967720585473923,9.59579195402478e-07,0.0106200304635536,0.0153327070273833,2.93984989246613e-37,4.04384347338492e-06,0.04124073006848,0.0153421527998374,0.0423260011036823,7.820182837006e-06,0.00549065202212368,0.00024738412197578,0.0507735488372055,7.30849014459171e-11,0.018249475630104,1.15388472944347e-08,0.00673555413033924,0.00186889825302382,0.0612597218096348,0.0473468681367016,0.00482346413089493,2.62443202434301e-12,0.000828401896964707,0.241576953055985,2.0644299042374e-18,2.0979414458467e-31,0.0647182747761988,0.00305123151617056,3.13551023549592e-07
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Coriobacteriales_Incertae_Sedis.Raoultibacter.NA",8.93241941108898e-172,2.85869307622929e-05,2.23911747386037e-266,4.95353222317699e-20,1.67846329570742e-47,2.91631110715749e-101,2.15292935758012e-15,1.41720737994323e-15,1.71243338441926e-268,1.30800475173436e-23,2.14131797108937e-211,1.74790867446501e-52,8.80722254920368e-28,2.2101372806163e-106,2.28836571479133e-05,3.46384027395745e-311,3.99289883532542e-44,3.12716762515778e-05,5.90072047594762e-105,1.86423730704372e-43,2.39822280104538e-167,3.91752890532116e-39,6.2433650487259e-14,2.9292454675767e-91,4.33181557170783e-06,1.2178694718398e-07,1.11913530837352e-16,0.000376461947811337,5.40143333215245e-28,1.98266462260363e-65
