"yadav_term","yadav_1","yadav_2","yadav_3","yadav_4","yadav_5","yadav_6","yadav_7","yadav_8","yadav_9","yadav_10","yadav_11","yadav_12","yadav_13","yadav_14","yadav_15","yadav_16","yadav_17","yadav_18","yadav_19","yadav_20","yadav_21","yadav_22","yadav_23","yadav_24","yadav_25","yadav_26","yadav_27","yadav_28","yadav_29","yadav_30"
"Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA",3.05374069916796e-26,1.7857689776202e-41,0.0507526058176837,1.91467085589259e-20,0.0224136953573553,0.000218966144008091,0.0249824287796188,5.11090073754325e-41,2.07336873934495e-08,2.55670950895543e-16,0.0328923811893517,3.04270157517344e-29,0.00783326007317272,0.00232025485264951,7.28910208748849e-34,4.72592528994751e-21,7.71337219531555e-13,0.000235330473579497,1.67445234874236e-14,1.0558749878345e-20,4.8698128963428e-46,2.61036749812317e-41,4.480230126972e-20,4.12135256482191e-43,7.6556011741129e-28,4.68927463562384e-39,0.00427219053548603,0.034997300190088,2.01428838795782e-57,1.5480426075716e-46
"Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA",2.96584280872502e-143,6.96166672965768e-306,3.47847977315602e-280,1.28868161341664e-280,8.45319357699946e-280,4.30709779077721e-276,2.66795807044629e-279,3.20409336459956e-303,5.61357037365898e-203,2.30410270228576e-283,3.56590419844419e-279,1.61154316056486e-71,1.27252057973876e-277,0.000986657311857942,7.61783776545573e-282,1.92252489664007e-282,1.40029896000402e-282,5.67108372356533e-282,9.9476174367792e-280,5.76190428078641e-240,1.87510409286432e-280,1.73957759346674e-259,6.59509169394856e-35,7.32411122421864e-279,1.08725126866773e-80,5.41020418553191e-283,7.13167842669271e-181,9.76736656025423e-281,1.26556482389017e-281,9.6482795132732e-260
"Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA",5.279696559756e-14,7.52623382997334e-06,0.000295880341680014,3.62264504850433e-06,5.5226602307189e-05,0.000388694082753094,6.98145974987596e-07,0.000193490749247498,0.00120879148990517,0.000569101815858879,5.45941027545586e-283,9.61470293703691e-11,0.000165265179133662,2.63330362782913e-296,0.00216791923467303,2.37706360109358e-15,0.000166807958724629,5.80950069347795e-08,4.04516025886122e-12,0.000108744135238645,0.000103722565167761,0.000191392833716805,1.15508919227073e-41,1.48019606968678e-47,1.65394660897162e-05,1.04528113926975e-15,0.000121629633073202,5.83374528251206e-19,0.000109557333034886,3.26774790896591e-43
"Bacteria.Actinobacteriota.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium.NA",0.00132988568826129,0.00104422584793165,0.183699897363642,0.00155258563697814,3.25690609765537e-31,0.0199279822346362,0.0988395606133336,0.00968956794827233,2.12441063342761e-09,0.319659520716853,0.0336578553225478,0.000370942293648967,0.000289224273019068,0.00888711522268744,1.67583822602865e-24,0.000972553504950683,7.01203602071976e-10,1.65538443709582e-08,2.37692377556298e-09,1.3026239693598e-41,1.6275386711635e-26,1.1144800494086e-37,0.000611669009810199,0.121790178962131,0.00065730181509689,6.85491792044897e-10,1.2438765037455e-06,6.28899920093145e-12,0.0162994664818606,5.17245087787736e-50
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Atopobiaceae.Coriobacteriaceae_UCG.002.NA",8.25085962614233e-279,1.70145590679458e-282,4.82527156929167e-277,5.5652538783344e-244,0.000524506635570063,5.97471251700862e-273,3.70093347584031e-276,2.00308397801308e-278,4.5195054063569e-58,3.19620119748338e-280,4.94654485910786e-276,4.83367352957587e-285,1.76521287923205e-274,4.21542863683566e-274,1.05672991212753e-278,2.66688479290387e-279,1.9424643116689e-279,5.549206572926e-18,3.94329000513997e-257,5.3241465899359e-40,2.60110368359645e-277,5.57920215668985e-276,7.57769330076479e-83,1.01598479089114e-275,6.22971289433952e-284,1.13020746569938e-201,4.60404161303681e-256,4.44715497618294e-94,1.75556404261509e-278,2.98226845843722e-276
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Collinsella.aerofaciens",0.000669719062989037,1.70484522815755e-11,0.0434614059050979,1.18460460358022e-12,0.0121379590965745,0.0230413447554711,0.00969548270434148,1.15607100735764e-20,0.0969578709951237,8.20104721230207e-05,1.30313097813685e-30,0.000247945452345564,0.0111357325762538,0.022312872006019,0.00770389728042226,0.0185761732936337,0.0397231378705875,0.0207571476166056,0.0146355994000986,1.85888125984469e-05,0.00127016191381354,0.0121712867453412,6.96980719696542e-06,0.0173066501642596,1.42294646442071e-08,0.0032362108338956,0.0297459491220007,0.0347570438348715,4.53210614862346e-10,0.0258497207986772
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Adlercreutzia.NA",9.87797484228298e-10,3.17955018640771e-05,0.000393598419799002,0.0127247679645859,0.00998967877216658,4.80938644511799e-08,0.00268613992973379,0.00154442325913488,0.002138888174321,0.0171131866652815,0.00243742404975521,3.69871004502368e-12,2.34263385450337e-12,0.000252098504609743,7.783025665364e-21,0.00515726540952516,0.00193711406370247,9.17867046695613e-06,0.00113936361812835,1.13678938744693e-13,0.00910149806930151,0.00955349032166779,3.94071524290974e-07,1.88998090031867e-07,0.000163660924007329,0.00985587879017473,0.0107767018886412,0.000257695216589986,0.000176889354322072,0.00410432177344819
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.DNF00809.NA",0.000244386496102328,5.74688143601601e-45,0.000479217541985568,2.76048317913461e-15,0.000216393597740747,4.36755966008696e-55,5.87526651878692e-15,4.84751232357544e-14,0.000592517174719936,0.000152892174319464,3.72007597602084e-44,3.62520667051162e-12,9.14887162590008e-28,1.62336875017757e-296,6.20554994375319e-34,0.00120892216269903,0.000203730354837674,1.09005130521476e-11,0.00031544151049328,1.86752206543257e-22,0.000245602722480314,0.000990920616536526,1.67268589439758e-38,0.000107281078776487,3.42253343596072e-06,1.34667476862239e-16,0.000397232404121053,1.89242169907587e-06,4.76666969300066e-05,1.59635099814862e-40
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Eggerthella.lenta",1.86371873578713e-33,0.000638048576151175,1.37309598834489e-58,0.000118934364721171,0.000172299331169407,3.15334314652793e-05,5.01258587539593e-34,0.00480447652551695,0.00689362783322101,0.00194744546442057,0.000279443821827822,0.000277606106122767,1.72299337517761e-222,1.16623038660814e-213,0.00335416590467426,0.00431728298594112,0.00190319142146603,3.97642589780062e-10,5.08154387438642e-10,2.01008902293708e-06,0.0012373278546817,0.0014533680384224,2.87768516174511e-41,4.18966501200357e-39,0.000993180915270752,3.79271864299217e-21,3.52925445513338e-34,2.99947637647772e-06,7.53286277318771e-11,1.35825874437118e-74
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Enterorhabdus.NA",0.000429646049888985,2.50227233632208e-55,9.62562914301934e-247,1.96114517562689e-46,4.19802978389733e-141,7.64991840231391e-225,5.30473788805111e-19,7.83250564768259e-231,1.64441292044435e-16,4.29868577999933e-66,4.5973046195867e-209,0.000195589657917524,2.15812045941247e-244,0.0013473070021916,2.95119641803942e-248,6.67912903804521e-67,4.67818248273696e-32,8.35495824597296e-31,0.0005424123271448,1.44956838252661e-172,0.000114875294794796,1.44497028309086e-126,4.4765522442213e-11,2.28021521574662e-40,1.06906457672878e-53,1.83957980812352e-11,2.20303184546877e-30,9.49497467778413e-229,4.03863671628909e-06,0.00235166624550269
