pathway,SRR14660150,SRR14660161,SRR14660172,SRR14660183,SRR14660188,SRR14660189,SRR14660190,SRR14660191,SRR14660192,SRR14660193,SRR14660194,SRR14660195,SRR14660197,SRR14660198,SRR14660199,SRR14660200,SRR14660201,SRR14660202,SRR14660203,SRR14660204,SRR14660205,SRR14660206,SRR14660207,SRR14660208,SRR14660209,SRR14660210,SRR14660211,SRR14660212,SRR14660213,SRR14660214,SRR14660215,SRR14660217,SRR14660218,SRR14660219,SRR14660220,SRR14660221,SRR14660222,SRR14660223,SRR14660224,SRR14660226,SRR14660227,SRR14660228,SRR14660229,SRR14660230,SRR14660231,SRR14660232,SRR14660233,SRR14660234,SRR14660235,SRR14660238,SRR14660249,SRR14660250,SRR14660251
"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",0,0,99.4187,0,0,0,15.0733,0,0,0,0,44.1163,0,0,0,0,0,0,0,0,14.4732,0,0,0,0,30.7737,0,18.5632,0,0,0,25.7102,112.4156,0,0,0,0,0,0,0,0,0,0,15.386,0,0,0,0,0,58.7957,0,19.727,0
4-hydroxyphenylacetate degradation,208.2112,20.8478,0.5598,22.8718,18.6873,13.9162,0,0,0,173.1901,155.3294,1309.374,0.8551,38.3053,20.3504,53.8478,3.2845,447.8188,110.0119,2988.4728,21.9985,18.0279,52.9453,11.3725,146.5751,0,0,44.1528,4.8569,309.0456,36.0304,23.8046,233.511,22.1844,100.7629,0,4.1695,0,62.4377,2.7865,76.8049,1.3402,67.4952,48.8164,1069.4374,53.3611,142.4269,16.7949,0,29.986,1.3819,0,87.5559
aerobactin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0.516,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARGORNPROST-PWY,6380.5455,4996.2883,3800.2647,2283.7494,4564.2395,9366.3177,5587.0717,4660.5113,6225.2661,5958.1327,5096.1285,5517.3436,4742.2313,1709.1919,5405.6566,4335.2584,1908.504,4414.3001,3442.9353,5639.2549,3510.4674,5878.367,7565.9882,5395.2083,5611.5771,2343.8881,4801.7775,4061.3975,1644.2539,7606.1872,3616.1309,5786.0783,3930.9313,8404.4288,5910.1615,5042.5215,5885.6305,2869.7722,4443.729,5960.9913,6153.9983,3048.1368,3326.0879,4331.6491,3498.5529,6711.4202,5209.0378,6631.4595,3791.2661,5210.8814,7986.0071,2378.5145,5248.0719
biotin biosynthesis I,15352.7005,16992.1832,15919.6295,9944.993,13573.0892,11256.3426,26419.9659,13034.9653,14741.1322,11399.8606,12072.07,23900.2454,12737.1286,9655.4097,13581.3368,29306.4902,21748.8267,13491.1961,16155.8598,24012.7622,9163.6372,21616.4979,21312.3061,7292.5643,21583.714,27723.2823,13727.3355,18234.4695,5599.2232,16057.734,11729.754,19446.2639,20143.3196,6473.9424,6838.2922,13551.654,3991.4645,28622.1067,2980.6058,14867.6117,12555.7341,12994.7756,18213.7748,29126.8262,13787.2322,16508.3274,4358.9229,10698.5212,8344.8712,18303.8665,7468.6596,14224.9655,8988.3425
Calvin-Benson-Bassham cycle,46779.5465,59174.4013,48107.2069,47721.2713,55712.4143,66179.0859,73018.0774,51124.4529,53369.147,46730.3525,44414.9656,57411.4986,51021.4769,28671.0974,40802.4985,56406.5792,48852.8789,46481.894,64063.8485,52022.0397,60332.2783,49885.5317,54867.598,42979.7087,52407.4759,56892.6388,45319.9051,47324.1692,16769.9041,49861.232,43288.0753,49225.4938,36459.4121,54124.8808,45449.676,39608.0845,48218.2883,56759.0974,43126.9676,50173.4819,61388.1113,47329.2852,56222.4514,62132.9941,52455.3889,67760.4648,42260.6253,54989.9746,51328.1388,58964.0334,51218.4676,51787.5196,51176.695
catechol degradation to beta;-ketoadipate,0,19.6364,0,26.1818,0,0,0,0,0,0,0,213.67,0,32.7273,13.0909,21.6822,26.79,242,9.9343,4.66,13.0909,17.4545,72,10.9091,163.6364,0,0,1.8776,2,403.6364,31.0952,0,28.67,17.4545,39.33,0,0,0,1.5,0,78.5455,0,0,32.7273,30.5455,54.9296,45.8182,18.4954,0,28.3636,0,7,0
chorismate biosynthesis I,79754.1042,110927.7673,95574.7251,92132.3668,110331.5497,125579.8553,142811.5702,99819.2383,102091.2879,90398.376,78746.3033,105595.5245,105108.184,54886.0142,74895.6214,101877.468,86238.7927,84685.9037,110661.0653,98716.5611,118236.6963,92768.75,103805.8319,90251.0661,98662.8558,102509.7802,84710.3008,96676.198,32581.2932,96292.979,79937.1042,84681.2421,69150.1536,105195.6436,92400.805,81727.8164,89255.4748,104684.5542,86118.2769,90419.2562,114988.2472,86581.0888,98858.6529,114466.7206,94106.3095,124423.3786,71289.4894,113320.7912,101493.7897,109854.6807,98098.7231,93917.0069,99675.3193
coenzyme A biosynthesis I (bacteria),33932.6089,47240.3916,41273.2648,35090.5458,46776.6296,51650.9349,60305.2156,42940.8211,45077.0057,40016.6575,32166.0142,41562.22,42678.0289,23746.9477,33388.5311,44577.4958,37201.277,37265.9028,49698.3362,43851.0372,51908.5336,40578.0688,42919.3661,36993.4812,42560.696,47250.6627,36965.2364,41334.6979,13202.2549,40593.993,34850.4311,34468.827,29958.0645,43230.0766,41788.3221,35907.4763,36654.3857,47131.0936,36694.1629,36804.7688,49697.3918,35947.5358,43482.1246,48195.2861,40356.945,50963.3367,25564.9075,47229.1768,41622.8992,47452.6896,39482.5904,40973.9113,40275.3042
colanic acid building blocks biosynthesis,15957.488,23620.6845,18232.4875,14282.7382,20899.0288,19366.6641,31213.5465,19428.949,26412.6279,23841.1824,18958.369,23994.2246,21775.4942,14391.1733,15882.8259,26220.4919,21283.225,20116.6429,26080.5589,35015.1589,31104.0496,21199.8781,27123.9211,14856.0607,24951.0715,26822.3191,17870.9182,23406.4425,7438.9297,23878.3554,14812.2937,22236.248,21671.1877,13159.6929,17446.5203,22094.7516,13279.2276,27840.7271,14652.0947,22146.3036,19586.7835,19442.9417,24444.5718,22932.7317,18955.7957,24816.1518,11398.2652,20811.8226,22418.7318,21982.4829,19376.814,23382.5204,16538.578
