"","Row.names","Genus","name","value","LibraryName","Group"
"1","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660150",0,"MS10_bacterial","MS"
"2","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660161",0,"MS9_bacterial","MS"
"3","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660172",0,"MS8_bacterial","MS"
"4","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660183",0,"MS7_bacterial","MS"
"5","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660188",289,"HC34_bacterial","HC"
"6","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660189",1263,"HC33_bacterial","HC"
"7","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660190",0,"HC32_bacterial","HC"
"8","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660191",183,"HC31_bacterial","HC"
"9","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660192",0,"HC30_bacterial","HC"
"10","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660193",1540,"HC29_bacterial","HC"
"11","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660194",0,"MS6_bacterial","MS"
"12","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660195",0,"HC28_bacterial","HC"
"13","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660197",0,"HC26_bacterial","HC"
"14","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660198",396,"HC25_bacterial","HC"
"15","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660199",0,"HC24_bacterial","HC"
"16","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660200",0,"HC23_bacterial","HC"
"17","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660201",0,"HC22_bacterial","HC"
"18","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660202",0,"HC21_bacterial","HC"
"19","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660203",0,"HC20_bacterial","HC"
"20","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660204",0,"HC19_bacterial","HC"
"21","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660205",0,"MS5_bacterial","MS"
"22","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660206",0,"HC18_bacterial","HC"
"23","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660207",1419,"HC17_bacterial","HC"
"24","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660208",0,"HC16_bacterial","HC"
"25","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660209",566,"HC15_bacterial","HC"
"26","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660210",0,"HC14_bacterial","HC"
"27","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660211",76,"HC13_bacterial","HC"
"28","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660212",0,"HC12_bacterial","HC"
"29","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660213",74,"HC11_bacterial","HC"
"30","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660214",0,"HC10_bacterial","HC"
"31","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660215",0,"HC9_bacterial","HC"
"32","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660217",0,"HC8_bacterial","HC"
"33","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660218",0,"HC7_bacterial","HC"
"34","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660219",0,"HC6_bacterial","HC"
"35","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660220",2595,"HC5_bacterial","HC"
"36","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660221",160,"HC4_bacterial","HC"
"37","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660222",177,"HC3_bacterial","HC"
"38","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660223",0,"HC2_bacterial","HC"
"39","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660224",1113,"HC1_bacterial","HC"
"40","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660226",0,"MS21_bacterial","MS"
"41","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660227",0,"MS3_bacterial","MS"
"42","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660228",0,"MS20_bacterial","MS"
"43","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660229",0,"MS19_bacterial","MS"
