"","R","P","microbe1","microbe2"
"cor",1,0,"Methanobrevibacter","Methanobrevibacter"
"cor1",NA,NA,"Methanobrevibacter","Methanosphaera"
"cor2",0.128298663387419,0.589844917600422,"Methanobrevibacter","Actinomyces"
"cor3",0.467815244162402,0.0375208572544462,"Methanobrevibacter","Bifidobacterium"
"cor4",NA,NA,"Methanobrevibacter","Coriobacteriaceae_UCG-002"
"cor5",0.560421824368269,0.0101647226237151,"Methanobrevibacter","Collinsella"
"cor6",-0.0375430278652755,0.875133409246766,"Methanobrevibacter","Adlercreutzia"
"cor7",-0.0926520133509807,0.697638672033998,"Methanobrevibacter","DNF00809"
"cor8",-0.191845704184037,0.417776607134942,"Methanobrevibacter","Eggerthella"
"cor9",-0.0790474411807354,0.740442500278477,"Methanobrevibacter","Enterorhabdus"
"cor10",-0.168298953710061,0.478152534637468,"Methanobrevibacter","Gordonibacter"
"cor11",-0.0790474411807354,0.740442500278478,"Methanobrevibacter","Senegalimassilia"
"cor12",0.113819052574945,0.632794734502214,"Methanobrevibacter","Slackia"
"cor13",-0.35731529242356,0.121948515213065,"Methanobrevibacter","Bacteroides"
"cor14",-0.114117910140435,0.631896089082344,"Methanobrevibacter","Barnesiella"
"cor15",-0.1073817184098,0.652269920108606,"Methanobrevibacter","Coprobacter"
"cor16",0.0942816139348207,0.692567100643036,"Methanobrevibacter","Butyricimonas"
"cor17",0.053672527759491,0.82218404661267,"Methanobrevibacter","Odoribacter"
"cor18",-0.0790474411807353,0.740442500278478,"Methanobrevibacter","CAG-873"
"cor19",-0.136014926663027,0.567471921090942,"Methanobrevibacter","Porphyromonas"
"cor20",0.376995488708123,0.10131136605313,"Methanobrevibacter","Alloprevotella"
"cor21",0.0387197831966763,0.871250315145953,"Methanobrevibacter","Paraprevotella"
"cor22",0.0208808625615687,0.930370834610322,"Methanobrevibacter","Prevotella"
"cor23",0.376995488708122,0.10131136605313,"Methanobrevibacter","Prevotellaceae_NK3B31_group"
"cor24",-0.27761313099581,0.235995864031094,"Methanobrevibacter","Alistipes"
