,pathway
"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)","3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)"
4-hydroxyphenylacetate degradation,4-hydroxyphenylacetate degradation
aerobactin biosynthesis,aerobactin biosynthesis
ARGORNPROST-PWY,ARGORNPROST-PWY
biotin biosynthesis I,biotin biosynthesis I
Calvin-Benson-Bassham cycle,Calvin-Benson-Bassham cycle
catechol degradation to beta;-ketoadipate,catechol degradation to beta;-ketoadipate
chorismate biosynthesis I,chorismate biosynthesis I
coenzyme A biosynthesis I (bacteria),coenzyme A biosynthesis I (bacteria)
colanic acid building blocks biosynthesis,colanic acid building blocks biosynthesis
creatinine degradation I,creatinine degradation I
dTDP-beta;-L-rhamnose biosynthesis,dTDP-beta;-L-rhamnose biosynthesis
enterobacterial common antigen biosynthesis,enterobacterial common antigen biosynthesis
enterobactin biosynthesis,enterobactin biosynthesis
fatty acid beta;-oxidation I (generic),fatty acid beta;-oxidation I (generic)
fatty acid elongation -- saturated,fatty acid elongation -- saturated
folate transformations III (E. coli),folate transformations III (E. coli)
GALACTARDEG-PWY,GALACTARDEG-PWY
GALACTUROCAT-PWY,GALACTUROCAT-PWY
GALLATE-DEGRADATION-I-PWY,GALLATE-DEGRADATION-I-PWY
GALLATE-DEGRADATION-II-PWY,GALLATE-DEGRADATION-II-PWY
GLCMANNANAUT-PWY,GLCMANNANAUT-PWY
GLUCARDEG-PWY,GLUCARDEG-PWY
GLUCARGALACTSUPER-PWY,GLUCARGALACTSUPER-PWY
GLUCONEO-PWY,GLUCONEO-PWY
glucose degradation (oxidative),glucose degradation (oxidative)
GLUCOSE1PMETAB-PWY,GLUCOSE1PMETAB-PWY
GLUCUROCAT-PWY,GLUCUROCAT-PWY
GLUTORN-PWY,GLUTORN-PWY
GLYCOCAT-PWY,GLYCOCAT-PWY
GLYCOGENSYNTH-PWY,GLYCOGENSYNTH-PWY
GLYCOL-GLYOXDEG-PWY,GLYCOL-GLYOXDEG-PWY
GLYCOLYSIS,GLYCOLYSIS
glycolysis III (from glucose),glycolysis III (from glucose)
GLYCOLYSIS-E-D,GLYCOLYSIS-E-D
GLYCOLYSIS-TCA-GLYOX-BYPASS,GLYCOLYSIS-TCA-GLYOX-BYPASS
GLYOXYLATE-BYPASS,GLYOXYLATE-BYPASS
GOLPDLCAT-PWY,GOLPDLCAT-PWY
HCAMHPDEG-PWY,HCAMHPDEG-PWY
HEME-BIOSYNTHESIS-II,HEME-BIOSYNTHESIS-II
HEMESYN2-PWY,HEMESYN2-PWY
HEXITOLDEGSUPER-PWY,HEXITOLDEGSUPER-PWY
HISDEG-PWY,HISDEG-PWY
HISTSYN-PWY,HISTSYN-PWY
homolactic fermentation,homolactic fermentation
HOMOSER-METSYN-PWY,HOMOSER-METSYN-PWY
HSERMETANA-PWY,HSERMETANA-PWY
ILEUSYN-PWY,ILEUSYN-PWY
KDO-NAGLIPASYN-PWY,KDO-NAGLIPASYN-PWY
KETOGLUCONMET-PWY,KETOGLUCONMET-PWY
L-arginine biosynthesis I (via L-ornithine),L-arginine biosynthesis I (via L-ornithine)
L-arginine biosynthesis II (acetyl cycle),L-arginine biosynthesis II (acetyl cycle)
L-arginine degradation II (AST pathway),L-arginine degradation II (AST pathway)
L-fucose degradation I,L-fucose degradation I
L-lysine biosynthesis I,L-lysine biosynthesis I
LACTOSECAT-PWY,LACTOSECAT-PWY
LEU-DEG2-PWY,LEU-DEG2-PWY
LPSSYN-PWY,LPSSYN-PWY
MET-SAM-PWY,MET-SAM-PWY
METH-ACETATE-PWY,METH-ACETATE-PWY
METHANOGENESIS-PWY,METHANOGENESIS-PWY
METHGLYUT-PWY,METHGLYUT-PWY
METHYLGALLATE-DEGRADATION-PWY,METHYLGALLATE-DEGRADATION-PWY
mixed acid fermentation,mixed acid fermentation
NAD-BIOSYNTHESIS-II,NAD-BIOSYNTHESIS-II
NADSYN-PWY,NADSYN-PWY
NAGLIPASYN-PWY,NAGLIPASYN-PWY
nitrate reduction I (denitrification),nitrate reduction I (denitrification)
NONMEVIPP-PWY,NONMEVIPP-PWY
NONOXIPENT-PWY,NONOXIPENT-PWY
OANTIGEN-PWY,OANTIGEN-PWY
ORNDEG-PWY,ORNDEG-PWY
P101-PWY,P101-PWY
P105-PWY,P105-PWY
P108-PWY,P108-PWY
P122-PWY,P122-PWY
P124-PWY,P124-PWY
P125-PWY,P125-PWY
P161-PWY,P161-PWY
P162-PWY,P162-PWY
P163-PWY,P163-PWY
P164-PWY,P164-PWY
P184-PWY,P184-PWY
P221-PWY,P221-PWY
P23-PWY,P23-PWY
P241-PWY,P241-PWY
P261-PWY,P261-PWY
P281-PWY,P281-PWY
P341-PWY,P341-PWY
P381-PWY,P381-PWY
P4-PWY,P4-PWY
P42-PWY,P42-PWY
P441-PWY,P441-PWY
P461-PWY,P461-PWY
P562-PWY,P562-PWY
P621-PWY,P621-PWY
PANTO-PWY,PANTO-PWY
PANTOSYN-PWY,PANTOSYN-PWY
PENTOSE-P-PWY,PENTOSE-P-PWY
PEPTIDOGLYCANSYN-PWY,PEPTIDOGLYCANSYN-PWY
PHOSLIPSYN-PWY,PHOSLIPSYN-PWY
POLYAMINSYN3-PWY,POLYAMINSYN3-PWY
POLYAMSYN-PWY,POLYAMSYN-PWY
POLYISOPRENSYN-PWY,POLYISOPRENSYN-PWY
PPGPPMET-PWY,PPGPPMET-PWY
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY
PRPP-PWY,PRPP-PWY
PWY-1269,PWY-1269
PWY-1541,PWY-1541
PWY-1622,PWY-1622
PWY-181,PWY-181
PWY-1861,PWY-1861
PWY-2941,PWY-2941
PWY-2942,PWY-2942
PWY-3001,PWY-3001
PWY-3661,PWY-3661
PWY-3781,PWY-3781
PWY-4361,PWY-4361
PWY-4722,PWY-4722
PWY-4984,PWY-4984
PWY-5005,PWY-5005
PWY-5022,PWY-5022
PWY-5028,PWY-5028
PWY-5088,PWY-5088
PWY-5097,PWY-5097
PWY-5100,PWY-5100
PWY-5101,PWY-5101
PWY-5103,PWY-5103
PWY-5104,PWY-5104
PWY-5121,PWY-5121
PWY-5154,PWY-5154
PWY-5177,PWY-5177
PWY-5178,PWY-5178
PWY-5180,PWY-5180
PWY-5181,PWY-5181
PWY-5182,PWY-5182
PWY-5183,PWY-5183
PWY-5188,PWY-5188
PWY-5189,PWY-5189
PWY-5198,PWY-5198
PWY-5265,PWY-5265
PWY-5304,PWY-5304
PWY-5345,PWY-5345
PWY-5347,PWY-5347
